GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
48043,050,48,043,99999,999,,,Brewster County,9232,5383,8866,4614,9232,8866
48053,050,48,053,31920,126,,,Burnet County,42750,20870,34147,15933,42750,34147
48059,050,48,059,10180,999,,,Callahan County,13544,6549,12905,5925,13544,12905
48065,050,48,065,11100,999,,,Carson County,6182,2784,6516,2815,6182,6516
48077,050,48,077,48660,999,,,Clay County,10752,5150,11006,4992,10752,11006
48097,050,48,097,23620,206,,,Cooke County,38437,16606,36363,15061,38437,36363
48105,050,48,105,99999,999,,,Crockett County,3719,1866,4099,2049,3719,4099
48109,050,48,109,99999,999,,,Culberson County,2398,1137,2975,1321,2398,2975
48115,050,48,115,29500,999,,,Dawson County,13833,5220,14985,5500,13833,14985
48125,050,48,125,99999,999,,,Dickens County,2444,1282,2762,1368,2444,2762
48127,050,48,127,99999,999,,,Dimmit County,9996,4350,10248,4112,9996,10248
48169,050,48,169,99999,999,,,Garza County,6461,2237,4872,1928,6461,4872
48173,050,48,173,99999,999,,,Glasscock County,1226,580,1406,660,1226,1406
48201,050,48,201,26420,288,,,Harris County,4092459,1598698,3400578,1298130,4092459,3400578
48207,050,48,207,99999,999,,,Haskell County,5899,3443,6093,3555,5899,6093
48223,050,48,223,44860,999,,,Hopkins County,35161,15029,31960,14020,35161,31960
48249,050,48,249,10860,999,,,Jim Wells County,40838,16147,39326,14819,40838,39326
48255,050,48,255,99999,999,,,Karnes County,14824,5650,15446,5479,14824,15446
48265,050,48,265,28500,999,,,Kerr County,49625,23831,43653,20228,49625,43653
48273,050,48,273,28780,204,,,Kleberg County,32061,12787,31549,12743,32061,31549
48281,050,48,281,28660,999,,,Lampasas County,19677,8718,17762,7601,19677,17762
48285,050,48,285,99999,999,,,Lavaca County,19263,10344,19210,9657,19263,19210
48293,050,48,293,99999,999,,,Limestone County,23384,10536,22051,9725,23384,22051
48321,050,48,321,13060,288,,,Matagorda County,36702,18801,37957,18611,36702,37957
48345,050,48,345,99999,999,,,Motley County,1210,779,1426,839,1210,1426
48363,050,48,363,33420,206,,,Palo Pinto County,28111,15214,27026,14102,28111,27026
48367,050,48,367,19100,206,,,Parker County,116927,46628,88495,34084,116927,88495
48369,050,48,369,99999,999,,,Parmer County,10269,3799,10016,3732,10269,10016
48391,050,48,391,99999,999,,,Refugio County,7383,3726,7828,3669,7383,7828
48405,050,48,405,99999,999,,,San Augustine County,8865,5342,8946,5356,8865,8946
48425,050,48,425,24180,206,,,Somervell County,8490,3674,6809,2750,8490,6809
48435,050,48,435,99999,999,,,Sutton County,4128,2031,4077,1998,4128,4077
48439,050,48,439,19100,206,,,Tarrant County,1809034,714803,1446219,565830,1809034,1446219
48441,050,48,441,10180,999,,,Taylor County,131506,55750,126555,52056,131506,126555
48451,050,48,451,41660,999,,,Tom Green County,110224,46571,104010,43916,110224,104010
48463,050,48,463,46620,999,,,Uvalde County,26405,10811,25926,10166,26405,25926
48479,050,48,479,29700,999,,,Webb County,250304,73496,193117,55206,250304,193117
48483,050,48,483,99999,999,,,Wheeler County,5410,2730,5284,2687,5410,5284
48495,050,48,495,99999,999,,,Winkler County,7110,3027,7173,3214,7110,7173
